Species,Abund,SciName,Taxa1,Taxa2,Taxa3,BM,"Birthing (1=hider, 2=follower)",Group,Threat,Temp,Rain,D,Prey,PreyOffset,PreyEst,logD,logAb,logPrey,Deer,WRSU,BioregionNo,Bioregion,Site,Site#,State,Coywolf,Period,Years,Duration,Country,Method,N,PopDens,HR,CoyoteBM,Wolf,Puma,Carnivores,Latitude,Longitude,Study,NA
NA,NA,NA,Voles,Rodents,Mammals,0.03,NA,1,0,0,450,NA,0.30075188,301,NA,NA,NA,0.114194462,No deer,Rural,5.4.1,NthForests,Rocherster,116,Alberta,0,Fall,1973,0.25,Canada,Scats,35,30.1,NA,NA,1,0,5,54.422686,-112.652442,Todd et al. 1981,NA
NA,NA,NA,NA,Lagomorphs,Mammals,2,NA,1,0,11,293,NA,0.302207131,302,0,NA,NA,0.114680069,Deer,Wilderness,10.1.7,Desert,Sevilleta National Wildlife Refuge,468,New Mexico,0,Winter,1993,0.25,USA,Scats,45,NA,NA,NA,0,1,6,34.3417,-106.973318,Hernandez et al 2002,NA
"Hare, showshoe",NA,Lepus americanus,Hares,Lagomorphs,Mammals,1.71,NA,1,0,4.5,1200,NA,0.302702703,303,0,NA,NA,0.114845314,Deer,Rural,5.3.1,NthForests,Eastern Townships region,542,Quebec,1,Annual,1976-1979,4,Canada,Scats,860,NA,18.5,NA,0,0,5,46,-70.416,Messier et al. 1986; Messier and Barrette 1982,NA
Invertebrates,NA,NA,NA,NA,Invertebrates,0.005,NA,NA,NA,22.5,1069,NA,0.303030303,303,0,NA,NA,0.114954516,Deer,Rural,9.5.1,GreatPlains,Welder Wildlife Refuge,688,Texas,0,Summer,2003-2004,0.5,USA,Scats,309,NA,NA,NA,0,0,3,28.10585,-97.4276,Young et al 2006,NA
"Deer, white-tailed",NA,Odocoileus virginianus,Deer,Ungulates,Mammals,55.5086,1,3,2,4.5,1200,NA,0.303030303,303,0,NA,NA,0.114954516,Deer,Wilderness,5.3.1,NthForests,Northern,579,New Brunswick,1,Winter,1984,0.25,Canada,Scats,115,NA,NA,NA,1,0,5,47.5,-67.5,Parker 1986,NA
NA,NA,NA,NA,Rodents,Mammals,0.2,NA,1,0,4.5,1200,NA,0.304,304,0,NA,NA,0.115277591,No deer,Rural,5.3.1,NthForests,Steuben,12,New York,1,Winter,2007-2008,0.5,USA,Scats,108,NA,NA,NA,0,0,9,42.277,-77.093,Boser 2009,NA
"Woodrat, desert",0.36415908,Neotoma lepida,Woodrats,Rodents,Mammals,0.1638,NA,1,0,22,206,-0.134635263,0.304010349,304,5,-0.062800806,0.134865018,0.115281038,No deer,Rural,10.2.2,Desert,Joshua Tree National Monument,41,California,0,Annual,1976-1978,3,USA,Scats,215,NA,4.81,8.74,0,0,4,33.813,-115.9,Cornely 1980,NA
"Rabbit, eastern cottontail",0.12,Sylvilagus floridanus,Rabbit,Lagomorphs,Mammals,1.1728,NA,1,0,10.5,1055,0.524752475,0.304347826,304,7,0.183199347,0.049218023,0.115393419,Deer,Rural,NA,ETempForest,NA,5,Illinois,0,Fall,1994-1995,2,USA,Scats & Stomach,NA,NA,NA,NA,0,0,NA,40.633,-89.399,Randa et al 2009,NA
"Cactus, prickly pear",NA,Opuntia spp.,Fruit,NA,Vegetation,NA,NA,NA,NA,22,592,NA,0.304477612,304,7,NA,NA,0.11543663,Deer,Rural,9.6.1,GreatPlains,Callaghan Ranch,20,Texas,0,Summer,1975,0.25,USA,Scats,170,NA,NA,NA,0,1,6,32.268618,-99.456739,Brown 1977,NA
"Hare, showshoe",NA,Lepus americanus,Hares,Lagomorphs,Mammals,1.71,NA,1,0,5.5,1090,NA,0.305205047,305,0,NA,NA,0.115678744,Deer,Rural,8.1.8,ETempForest,Eastern,518,Maine,1,Winter,1979-1984,1.5,USA,Scats,93,NA,NA,NA,0,0,5,44.58,-67.916,Litvaitis and Harrison 1989,NA
NA,NA,NA,NA,Lagomorphs,Mammals,2,NA,1,0,NA,NA,NA,0.305389222,305,0,NA,NA,0.115740023,No deer,Rural,NA,NA,NA,9,West Virginia,1,Annual,2009-2011,3,USA,Scats,693,NA,NA,NA,0,0,6,39.24345,-78.7327,Albers 2012,NA
"Hare, showshoe",NA,Lepus americanus,Hares,Lagomorphs,Mammals,1.71,NA,1,0,4,768,NA,0.305970149,306,0,NA,NA,0.11593325,Deer,Rural,5.2.1,NthForests,Chequamegon National Forest,484,Wisconsin,0,Winter,1975,0.25,USA,Scats,27,NA,13.26667,NA,0,0,3,46.1666,-91,Huegel 1979,NA
"Rabbit, eastern cottontail",NA,Sylvilagus floridanus,Rabbit,Lagomorphs,Mammals,1.1728,NA,1,0,12,1057,NA,0.306188925,306,0,NA,NA,0.148043673,Deer,Rural,8.3.2,ETempForest,Adams & Pike counties,NA,Illinois,0,Winter,1979-1981,0.5,USA,Stomachs,171,NA,NA,NA,0,0,6,39.75,-91,Jones and Woolf 1983,NA
NA,NA,NA,Grass,NA,Vegetation,NA,NA,NA,NA,22,592,NA,0.306934445,307,3,NA,NA,0.116253804,No deer,Rural,9.6.1,GreatPlains,Killam Ranch,26,Texas,0,Winter,1976-1977,0.25,USA,Scats,210,NA,NA,NA,0,1,6,28.0218,-98.561884,Brown 1977,NA
NA,NA,NA,Voles,Rodents,Mammals,0.03,NA,1,0,2.5,1500,NA,0.307222787,307,0,NA,NA,0.11634961,Deer,Wilderness,6.2.4,NWForMtn,"North Fork, Flathead River",306,Montana,0,Winter,1995,0.5,USA,Scats,29,NA,NA,NA,1,1,8,48.726,-114.256,Arjo et al 2002,NA
"Prairie dog, black-tailed",NA,Cynomys ludovicianus,Prairie dogs,NA,Mammals,1.364,NA,5,0,18.5,340,NA,0.307576894,308,0,NA,NA,0.116467238,No deer,Rural,10.2.4,Desert,Janos-Casas Grandes,513,Chihuahua,0,Annual,1994-1996,2,Mexico,Scats,76,NA,NA,NA,0,0,4,30.3,-108.4333,List et al. 2003,NA
NA,0.785134781,NA,Kangaroo rats,Rodents,Mammals,0.064,NA,1,0,17,442,-0.783060269,0.307757886,308,3,-0.663660903,0.251671012,0.116527348,No deer,Rural,11.1.2,Mediterranean,San Joaquin Experimental Research Station,48,California,0,Annual,1939-1941,3,USA,Scats,1173,NA,NA,NA,0,0,5,37.099368,-119.739933,Fitch 1948,NA
"Rabbit, eastern cottontail",NA,Sylvilagus floridanus,Rabbit,Lagomorphs,Mammals,1.1728,NA,1,0,NA,NA,NA,0.308129285,308,0,NA,NA,0.116650668,No deer,Rural,13.4.2,TempSierras,Izta-Popo National Park,530,Puebla,0,Annual,2004-2005,1,Mexico,Scats,70,NA,NA,NA,0,0,5,19.178,-98.642728,Martinez Garcia et al 2014,NA
Invertebrates,NA,NA,NA,NA,Invertebrates,0.005,NA,NA,NA,3.5,588,NA,0.308641975,309,0,NA,NA,0.116820846,Deer,Rural,6.2.14,NWForMtn,Valles Caldera National Preserve,273,New Mexico,0,Summer,2007,0.25,USA,Scats,119,67,10.6,NA,0,1,NA,35.838,-106.472,Gifford et al. 2020,NA
NA,NA,NA,NA,NA,Vegetation,NA,NA,NA,NA,NA,NA,NA,0.308823529,309,0,NA,NA,0.116881094,Deer,Rural,13.2.1,TempSierras,Reserva Biosfera de la Minchilia,608,Durango,0,Fall,1986,0.25,Mexico,Scats,54,NA,NA,NA,0,1,3,23.458,-104.263,Servin and Huxley 1991,NA
Vitex,NA,NA,NA,NA,Vegetation,NA,NA,NA,NA,18.5,427,NA,0.309045226,309,0,NA,NA,0.116954651,No deer,Rural,14.5.2,TropDForest,Cabo Corrientes,450,Jalisco,0,Summer,1999-2001,1.5,Mexico,Scats,155,NA,NA,NA,0,0,4,20.5,-105.35,Guerrero et al 2004,NA
NA,0.591078067,NA,Voles,Rodents,Mammals,0.03,NA,1,0,2.5,2300,-0.527038201,0.309245961,309,3,-0.325173936,0.201691489,0.117021243,No deer,Rural,7.1.3,MarineWCForest,Kenai Peninsula,95,Alaska,0,Summer,1987-1990,1.25,USA,Scats,183,NA,NA,NA,1,0,8,60.16666667,-150.25,Staples 1995,NA
"Cactus, prickly pear",NA,NA,Fruit,NA,Vegetation,NA,NA,NA,NA,14,658,NA,0.310237849,310,NA,NA,NA,0.117350141,Deer,Rural,9.4.2,GreatPlains,Rolling Plains Quail Research Ranch,130,Texas,0,Annual,2010,1,USA,Scats,350,NA,NA,NA,0,0,5,32.73633,-100.571803,Tyson 2012,NA
NA,NA,NA,NA,NA,Vegetation,NA,NA,NA,NA,22,592,NA,0.310552764,311,7,NA,NA,0.117454511,No deer,Rural,9.6.1,GreatPlains,Brackettville 2,91,Texas,0,Summer,1974,0.25,USA,Scats,28,NA,NA,NA,0,0,NA,29.107,-100.3434,Sanyal 1975,NA
NA,NA,NA,NA,Lagomorphs,Mammals,2,NA,1,0,13.5,167,NA,0.310559006,311,1,NA,NA,0.117456579,No deer,Rural,10.2.1,Desert,Lokern Natural Area,220,California,0,Annual,2001-2004,3,USA,Scats,396,NA,6.89,NA,0,0,2,35.5213,-118.0605,Nelson 2005,NA
NA,NA,NA,Voles,Rodents,Mammals,0.03,NA,1,0,1.5,621,NA,0.310638298,311,NA,NA,NA,0.117482854,Deer,Rural,6.2.10,NWForMtn,National Elk Refuge,122,Wyoming,0,Summer,1973,0.25,USA,Scats,259,NA,NA,NA,0,1,8,43.787461,-110.616094,Weaver 1977,NA
Berries,NA,NA,Fruit,NA,Vegetation,NA,NA,NA,NA,0,450,NA,0.310810811,311,NA,NA,NA,0.117540015,No deer,Rural,5.4.1,NthForests,Rocherster,119,Alberta,0,Winter,1973-1974,0.25,Canada,Scats,176,32.3,NA,NA,1,0,5,54.422686,-112.652442,Todd et al. 1981,NA
"Rat, hispid cotton",NA,Sigmodon hispidus,Rat,Rodents,Mammals,0.0924,NA,1,0,14,658,NA,0.311010947,311,0,NA,NA,0.117606318,No deer,Rural,9.4.2,GreatPlains,North-central,44,Oklahoma,0,Fall,1952,0.25,USA,Scats,87,NA,NA,NA,0,0,8,36.759,-101.5572,Ellis 1958,NA
NA,NA,NA,Voles,Rodents,Mammals,0.03,NA,1,0,NA,NA,NA,0.311111111,311,0,NA,NA,0.117639498,No deer,Rural,NA,NA,Statewide,433,Kansas,0,Annual,1951,1,USA,Stomachs,197,NA,NA,NA,0,0,6,38.5,-98.2,Gier 1968; Tiemeier 1955,NA
Carrion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.311111111,311,0,NA,NA,0.117639498,No deer,Rural,NA,NA,Statewide,433,Kansas,0,Annual,1951,1,USA,Stomachs,197,NA,NA,NA,0,0,6,38.5,-98.2,Gier 1968; Tiemeier 1955,NA
NA,NA,NA,Voles,Rodents,Mammals,0.03,NA,1,0,NA,NA,NA,0.311258278,311,0,NA,NA,0.117688243,No deer,Rural,NA,NA,Statewide,434,Kansas,0,Annual,1952,1,USA,Stomachs,183,NA,NA,NA,0,0,6,38.5,-98.2,Gier 1968; Tiemeier 1955,NA
"Gopher, Botta's pocket",NA,Thomomys bottae,Gophers,Rodents,Mammals,0.1147,NA,1,0,NA,NA,NA,0.311291963,311,0,NA,NA,0.117699399,Deer,Wilderness,NA,NA,Wildland - Midpeninsula Regional Open Space District,293,California,0,Annual,2014-2015,0.33,USA,Scats,152,NA,NA,NA,0,1,2,37.309,-122.23,Smith et al. 2018,NA
Saw palmetto,NA,Serenoa repens,Fruit,NA,Vegetation,NA,NA,NA,NA,20.5,1338,NA,0.3125,313,0,NA,NA,0.118099312,Deer,Rural,8.5.3,ETempForest,Eglin Air Force Base,647,Florida,0,Winter,1994-1996,0.75,USA,Scats,23,NA,NA,NA,0,0,3,30.46356,-86.553338,Stratman and Pelton 1997,NA
NA,NA,NA,NA,NA,Vegetation,NA,NA,NA,NA,16,548,NA,0.312728752,313,5,NA,NA,0.118174997,No deer,Rural,11.1.1,Mediterranean,San Francisco State Fish and Wildlife Refuge,68,California,0,Summer,2000,0.25,USA,Scats,78,NA,NA,NA,0,0,4,37.544096,-122.404885,McDonald 2002,NA
NA,0.12539185,NA,NA,Rodents,Mammals,0.2,NA,1,0,14,658,0.52149446,0.313124584,313,NA,0.182270375,0.051303766,0.118305932,Deer,Rural,9.4.2,GreatPlains,Rolling Plains Quail Research Ranch,129,Texas,0,Annual,2008-09,1,USA,Scats,380,NA,NA,NA,0,0,5,32.73633,-100.571803,Tyson 2012,NA
NA,NA,NA,Grass,NA,Vegetation,NA,NA,NA,NA,22,592,NA,0.313353566,313,7,NA,NA,0.118381658,Deer,Rural,9.6.1,GreatPlains,Callaghan Ranch,23,Texas,0,Spring,1976,0.25,USA,Scats,287,NA,NA,NA,0,1,6,32.268618,-99.456739,Brown 1977,NA
