cnt,uniqID,x,y,cur_b1,cur_b2,cur_b3,r45y50_b1,r45y50_b2,r45y50_b3,r85y50_b1,r85y50_b2,r85y50_b3,r45y70_b1,r45y70_b2,r45y70_b3,r85y70_b1,r85y70_b2,r85y70_b3
4988,Q672,26.87501061,-30.37493255,0.199353829,-0.207506135,-0.068110242,0.19112426,-0.044871252,-0.017706441,0.191934615,-0.046018563,-0.011205447,0.191228896,-0.047430176,-0.011781433,0.195640013,-0.020401755,-0.010554709
4989,Q673,27.12501061,-30.37493255,0.221900135,-0.224342212,-0.020629667,0.206096545,-0.010679316,-0.012601138,0.206261516,-0.01256396,-0.008919607,0.203591317,-0.012976021,-0.008927325,0.209798723,0.002097824,-0.008376036
4990,Q674,27.37501061,-30.37493255,0.163709223,0.077909254,0.065548576,0.163359389,0.000160151,-0.003944744,0.170329213,-0.001500807,-0.007265476,0.164387584,-0.004943555,-0.00729713,0.173512012,0.011548587,-0.00694317
4991,Q675,27.62501061,-30.37493255,0.169681355,0.077080309,0.068055622,0.179775104,0.027311618,-0.007352444,0.185540587,0.026964445,-0.008086169,0.178317919,0.030424329,-0.006590055,0.189244151,0.033110302,-0.007486248
4993,Q677,28.12501061,-30.37493255,0.55811584,0.087638043,0.033328157,0.632369637,-0.040892452,-0.093348004,0.615901589,-0.051896904,-0.026812484,0.608027935,-0.001618502,-0.024534607,0.579705179,-0.048118372,-0.023866002
4994,Q678,28.37501061,-30.37493255,0.218578666,-0.238203228,0.012621362,0.209682107,0.050971381,-0.013184994,0.21807088,0.045123514,-0.010375221,0.206589147,0.055563904,-0.008066486,0.219106421,0.042846061,-0.009534699
4995,Q679,28.62501061,-30.37493255,0.18789655,-0.239323288,0.01465572,0.16643852,0.083001256,-0.011477713,0.175857991,0.082255192,-0.012067606,0.159166649,0.08900357,-0.009301282,0.180593386,0.078901768,-0.010763826
4996,Q680,28.87501061,-30.37493255,0.221871793,0.068945989,0.083414413,0.203142315,0.075134486,-0.011994332,0.215755165,0.072682254,-0.010089798,0.201564968,0.085069813,-0.007072778,0.218370959,0.069364347,-0.008653575
4997,Q681,29.12501061,-30.37493255,0.191350117,0.080816194,0.045022994,0.208141029,0.052138783,-0.017450748,0.217912659,0.04687047,-0.011851208,0.202780783,0.057058029,-0.009417429,0.222394928,0.040834818,-0.010973318
4998,Q682,29.37501061,-30.37493255,0.253827035,0.066754088,0.08653266,0.262382984,0.040609546,-0.030148925,0.271407396,0.034218919,-0.014950855,0.256371349,0.050155733,-0.012354429,0.274024695,0.029204987,-0.013747746
